Freq_Thz,S11-db,VSWR,W1
3.44,-7.766597513,2.383808001,4
3.46,-7.992470195,2.324757894,4
3.48,-8.196439767,2.274419123,4
3.5,-8.38620752,2.2299407,4
3.52,-8.581179811,2.186444241,4
3.54,-8.81173112,2.137688096,4
3.56,-9.118212125,2.077004528,4
3.58,-9.551397735,1.998452079,4
3.6,-10.17695709,1.897922675,4
3.62,-11.0849944,1.774286256,4
3.64,-12.40974172,1.630244444,4
3.66,-14.3730787,1.472608358,4
3.68,-17.41267874,1.311335839,4
3.7,-22.75177927,1.157141022,4
3.72,-39.60052808,1.021162887,4
3.74,-25.32922836,1.114483496,4
3.76,-18.98498716,1.253256943,4
3.78,-15.62553073,1.396563134,4
3.8,-13.42669977,1.541748294,4
3.82,-11.8384666,1.687824366,4
3.84,-10.61820388,1.834881167,4
3.86,-9.639749248,1.983379122,4
3.88,-8.832146322,2.13350351,4
3.9,-8.153958835,2.284680784,4
3.92,-7.580239034,2.435356955,4
3.94,-7.095168188,2.583048871,4
3.96,-6.687863992,2.724585635,4
3.98,-6.349855093,2.856546387,4
4,-6.073907218,2.975675087,4
4.02,-5.853436599,3.079267402,4
4.04,-5.682424303,3.165372638,4
4.06,-5.55550585,3.232828645,4
4.08,-5.468180942,3.281122495,4
4.1,-5.416990439,3.310180753,4
4.12,-5.399675338,3.320138413,4
4.14,-5.415250447,3.311178427,4
4.16,-5.464052516,3.283445153,4
4.18,-5.547795873,3.237029313,4
4.2,-5.669646121,3.172022668,4
4.22,-5.834414258,3.088586607,4
4.24,-6.048690037,2.987126481,4
4.26,-6.3208976,2.86853844,4
4.28,-6.660866805,2.73461052,4
4.3,-7.078650805,2.588455316,4
4.32,-7.582436,2.43473354,4
4.34,-8.176427797,2.279238948,4
4.36,-8.86046443,2.127733657,4
4.38,-9.632900972,1.984536583,4
4.4,-10.4956336,1.851799298,4
4.42,-11.45794004,1.72986874,4
4.44,-12.53593749,1.6183434,4
4.46,-13.74504079,1.517210743,4
4.48,-15.07993568,1.427770517,4
4.5,-16.4689448,1.353382731,4
4.52,-17.69432262,1.299912989,4
4.54,-18.37024599,1.274378762,4
4.56,-18.22457831,1.279667935,4
4.58,-17.45208003,1.309708538,4
4.6,-16.48146148,1.352784099,4
4.62,-15.60766679,1.397541853,4
4.64,-14.95304447,1.435436203,4
4.66,-14.54555221,1.461173861,4
4.68,-14.36772349,1.472968759,4
4.7,-14.37255332,1.472643701,4
4.72,-14.4868831,1.46502615,4
4.74,-14.62272786,1.456163949,4
4.76,-14.70549929,1.450862331,4
4.78,-14.70500079,1.450894042,4
4.8,-14.64095436,1.454990203,4
4.82,-14.5600492,1.460227817,4
4.84,-14.50927213,1.463551563,4
4.86,-14.52335627,1.4626268,4
4.88,-14.62455399,1.456046188,4
4.9,-14.827126,1.4432037,4
4.92,-15.14168979,1.42409736,4
4.94,-15.57784141,1.399182192,4
4.96,-16.14448578,1.369316579,4
4.98,-16.84578893,1.335859169,4
5,-17.66875697,1.300930058,4
5.02,-18.55198465,1.267936345,4
5.04,-19.32605863,1.242323377,4
5.06,-19.66958218,1.231837367,4
5.08,-19.26206168,1.244334316,4
5.1,-18.12753014,1.283255242,4
5.12,-16.61762069,1.34634679,4
5.14,-15.06527997,1.428647729,4
5.16,-13.64870155,1.524492081,4
5.18,-12.43890552,1.627469096,4
5.2,-11.45630924,1.730055814,4
5.22,-10.69943298,1.823908468,4
5.24,-10.15639277,1.901009929,4
5.26,-9.809519477,1.955253919,4
5.28,-9.63777628,1.983712398,4
5.3,-9.618694056,1.986943547,4
5.32,-9.729844854,1.968318589,4
5.34,-9.949406899,1.932874225,4
5.36,-10.25517332,1.88630605,4
5.38,-10.62193606,1.834372884,4
5.4,-11.01829165,1.782590861,4
5.42,-11.40658431,1.735789215,4
5.44,-11.75124574,1.697185897,4
5.46,-12.03546913,1.667253452,4
5.48,-12.27305764,1.643456684,4
5.5,-12.49943776,1.621756746,4
5.52,-12.74682777,1.599068236,4
5.54,-13.02371034,1.574870247,4
5.56,-13.30836173,1.551227865,4
5.58,-13.55258591,1.531880252,4
5.6,-13.69183316,1.521216995,4
5.62,-13.6630712,1.523398207,4
5.64,-13.42813773,1.541634328,4
5.66,-12.99033955,1.577722333,4
5.68,-12.3911743,1.632019327,4
5.7,-11.69093463,1.703753052,4
5.72,-10.9488616,1.791356633,4
5.74,-10.2127807,1.8925776,4
5.76,-9.517242335,2.004361551,4
5.78,-8.885325406,2.122701091,4
5.8,-8.3310914,2.242634602,4
5.82,-7.861564454,2.358539329,4
5.84,-7.478421394,2.464675957,4
5.86,-7.17951483,2.555849788,4
5.88,-6.960388382,2.62795552,4
5.9,-6.815599603,2.678282747,4
5.92,-6.739692768,2.705576075,4
5.94,-6.727599513,2.709984104,4
5.96,-6.774440756,2.693002244,4
5.98,-6.874601458,2.657505059,4
6,-7.01998401,2.607874995,4
6.02,-7.197250187,2.550216333,4
6.04,-7.38417584,2.492579717,4
6.06,-7.546619311,2.44494506,4
